File,param_LDA__solver,params,mean_test_score,std_test_score
D3S06I_S01_FI4S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.71875,0.11151186409227196
D3S06I_S01_FI4S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.71875,0.11151186409227196
D3S03I_S01_NF2S8BCH-epo.fif,svd,{'LDA__solver': 'svd'},0.63125,0.16084898455798013
D3S03I_S01_NF2S8BCH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.63125,0.16084898455798013
D3S03I_S01_NF2S8BCH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.63125,0.16084898455798013
D3S02I_S01_NF4S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.7577777777777779,0.09658361694266993
D3S02I_S01_NF4S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.7577777777777779,0.09658361694266993
D3S02I_S01_NF4S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.7577777777777779,0.09658361694266993
D3S08I_S01_FI2S15CH-epo.fif,svd,{'LDA__solver': 'svd'},0.60625,0.12199513309964459
D3S08I_S01_FI2S15CH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.60625,0.12199513309964459
D3S08I_S01_FI2S15CH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.60625,0.12199513309964459
D3S02I_S01_FI2S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.7622222222222224,0.10137328647072931
D3S02I_S01_FI2S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.7622222222222224,0.10137328647072931
D3S02I_S01_FI2S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.7622222222222224,0.10137328647072931
D3S06I_S01_NF2S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.61875,0.1037700783784356
D3S06I_S01_NF2S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.61875,0.1037700783784356
D3S06I_S01_NF2S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.61875,0.1037700783784356
D3S06I_S01_NF4S8BCH-epo.fif,svd,{'LDA__solver': 'svd'},0.7125,0.09213893494789992
D3S06I_S01_NF4S8BCH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.7125,0.09213893494789992
D3S06I_S01_NF4S8BCH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.7125,0.09213893494789992
D3S12I_S01_NF4S15CH-epo.fif,svd,{'LDA__solver': 'svd'},0.6791666666666667,0.10793194872490515
D3S12I_S01_NF4S15CH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.6791666666666667,0.10793194872490515
D3S12I_S01_NF4S15CH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.6791666666666667,0.10793194872490515
D3S05I_S01_NF2S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.6708333333333333,0.11055415967851333
D3S05I_S01_NF2S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.6708333333333333,0.11055415967851333
D3S05I_S01_NF2S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.6708333333333333,0.11055415967851333
D3S04I_S01_FI2S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.84375,0.07864410870073697
D3S04I_S01_FI2S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.84375,0.07864410870073697
D3S04I_S01_FI2S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.84375,0.07864410870073697
D3S08I_S01_NF4S8BCH-epo.fif,svd,{'LDA__solver': 'svd'},0.6791666666666667,0.10549157417643469
D3S08I_S01_NF4S8BCH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.6791666666666667,0.10549157417643469
